"rank","name","industry","revenue","three_years_growth_percent","workers","founded","yrs_on_list","state","metro","city","url"
"3100","Dream Local Digital","Advertising & Marketing",3.6,0.119,35,2009,"2","ME",NA,"Rockland","dreamlocal.com"
"3101","Lamacchia Realty","Real Estate",11.1,0.119,27,2005,"8","MA","Boston","Waltham","lamacchiarealty.com"
"3102","Rice Insurance","Insurance",14.9,0.119,130,1946,"4","WA",NA,"Bellingham","riceinsurance.com"
"3103","Relief-Mart","Manufacturing",20.6,0.119,41,2001,"3","CA","Los Angeles","Agoura Hills","snugglepedic.com"
"3104","The Music Room","Consumer Products & Services",5.9,0.119,18,2011,"1","CO",NA,"Erie","tmraudio.com"
"3105","Redhorse","Government Services",86.2,0.119,380,2008,"7","CA","San Diego","San Diego","redhorsecorp.com"
"3106","Cohen & Company","Financial Services",88.3,0.119,591,1977,"7","OH","Cleveland","Cleveland","cohencpa.com"
"3107","MKD Electric","Construction",68.2,0.119,267,1995,"5","IL","Chicago","Elgin","mkdelectric.com"
"3108","Accelogix","Logistics & Transportation",10.3,0.119,65,2012,"4","NC","Raleigh","Cary","accelogix.com"
"3109","Deep Well Services","Energy",76.1,0.119,286,2008,"2","PA","Pittsburgh","Zelienople","deepwellservices.com"
"3110","Wellworks For You","Health",5.8,0.118,54,2008,"1","PA","Philadelphia","West Chester","wellworksforyou.com"
"3111","Cambria Investment Management, LP","Financial Services",5.4,0.118,7,2006,"1","CA","Los Angeles","El Segundo","cambriainvestments.com"
"3112","eLearningBrothers","Education",10.1,0.118,62,2009,"6","UT","Provo-Orem","American Fork","elearningbrothers.com"
"3113","ImagineSoftware","Health",34.2,0.118,140,2000,"9","NC","Charlotte","Charlotte","imagineteam.com"
"3114","Odyssey Systems Consulting Group","Government Services",194.8,0.118,915,1997,"6","MA","Boston","Wakefield","odysseyconsult.com"
"3115","ActualTech Media","Advertising & Marketing",2.9,0.118,10,2012,"1","SC","Charleston","North Charleston","actualtechmedia.com"
"3116","Vivax Pros","Construction",42,0.118,172,2004,"9","CO","Denver","Denver","vivaxpros.com"
"3117","Day Translations","Business Products & Services",3.3,0.118,61,2007,"2","FL","Tampa","Tampa","daytranslations.com"
"3118","Pacific Energy Concepts","Energy",29.3,0.118,48,2009,"5","WA",NA,"Vancouver","pecnw.com"
"3119","SHARP MEDICAL STAFFING","Health",5.4,0.118,55,2013,"1","NE","Omaha-Council Bluffs","Omaha","sharpmedicalstaffing.com"
"3120","LMG","Advertising & Marketing",6.3,0.118,32,2004,"2","OH",NA,"Dayton","lmgresults.com"
"3121","Norman Heating & Air Conditioning","Consumer Products & Services",3.3,0.118,21,2008,"2","OK","Oklahoma City","Norman","normanair.com"
"3122","TR MILLER HEATING & COOLING","Construction",5.3,0.118,30,2008,"1","IL","Chicago","Plainfield","trmillerheatingandcooling.com"
"3123","FATHOM (Oakland, CA)","Manufacturing",16.2,0.118,72,2008,"7","CA","San Francisco","Oakland","studiofathom.com"
"3124","Bulu","Consumer Products & Services",7.1,0.118,189,2012,"3","NE",NA,"Lincoln","bulugroup.com"
"3125","Darkblade Systems","Government Services",8.9,0.118,48,2010,"4","VA","Washington","Winchester","darkbladesystems.com"
"3126","Energy Fitness","Health",4.6,0.118,150,2003,"4","NY","New York City","St. James","energyfitness.com"
"3127","Medical B & T services","Health",4,0.118,25,2004,"1","FL","Tampa","Safety Harbor","practiceforces.com"
"3128","Blue Chip Talent","Human Resources",23.7,0.118,216,1994,"3","MI","Detroit","Bloomfield Hills","bctalent.com"
"3129","ProMedia","Advertising & Marketing",62.8,0.117,32,2010,"1","FL","Miami","Miami","promedia.com"
"3130","Insight Sourcing Group","Business Products & Services",43.5,0.117,131,2002,"12","GA","Atlanta","Norcross","insightsourcing.com"
"3131","Mighty 8th Media","Advertising & Marketing",3.7,0.117,15,2005,"1","GA","Atlanta","Buford","m8th.com"
"3132","Knight Federal Solutions","IT System Development",8.1,0.117,74,2013,"1","FL","Orlando","Orlando","knightfederal.com"
"3133","Alegiant Services,LLC","Human Resources",8.3,0.117,80,2003,"1","FL","Orlando","Oviedo","alegiantservices.com"
"3134","Nuspire","Security",31.2,0.117,130,1999,"2","MI","Detroit","Commerce","nuspire.com"
"3135","Datavail","IT Management",70.7,0.117,975,2007,"8","CO","Denver","Broomfield","datavail.com"
"3136","Intero Real Estate Services","Real Estate",33.1,0.117,44,2012,"4","CA","Inland Empire","Rancho Cucamonga","interosoutherncalifornia.com"
"3137","Coastal Payroll","Human Resources",8.3,0.117,51,2007,"5","CA","San Diego","San Diego","coastalpayroll.com"
"3138","Pet Assure Corp","Consumer Products & Services",4.3,0.117,17,2007,"1","NJ","New York City","Lakewood","petbenefits.com"
"3139","J&B Pallet","Manufacturing",26.8,0.117,147,1990,"1","MN",NA,"Lake City","jbpallet.com"
"3140","Levitate Media","Advertising & Marketing",6.4,0.117,25,2009,"6","CA","San Francisco","San Francisco","levitatemedia.com"
"3141","PaySphere Payroll & HR","Human Resources",2.3,0.117,15,2012,"2","TX","Houston","Houston","payspherepayroll.com"
"3142","Nekter Juice Bar","Food & Beverage",74.1,0.117,1605,2010,"5","CA","Los Angeles","Santa Ana","nekterjuicebar.com"
"3143","Intellectual Capitol","IT System Development",6.1,0.117,55,2003,"5","SC","Greenville-Mauldin-Easley","Greenville","icapsolutions.net"
"3144","All Industrial Tool Supply","Manufacturing",8.5,0.117,16,2010,"4","CA","Los Angeles","Huntington Beach","allindustrial.com"
"3145","Adaptive Nursing and Healthcare Services","Health",26.1,0.117,1002,2011,"2","IN","Louisville/Jefferson County","Fishers","adaptiveindiana.com"
"3146","DKBinnovative","IT Management",3.9,0.117,25,2004,"3","TX","Dallas","Frisco","dkbinnovative.com"
"3147","Clason Point Partners","Government Services",5.5,0.117,52,2011,"3","NY","New York City","Yonkers","cppgs.com"
"3148","Classy Art","Manufacturing",3.2,0.117,15,1987,"1","TX","Houston","Houston","http://classyart.net"
"3149","Mommy's Bliss","Consumer Products & Services",28.9,0.116,25,1998,"7","CA","San Francisco","Richmond","mommysbliss.com"
"3150","TorchLight Hire","Advertising & Marketing",5.6,0.116,13,2012,"3","VA","Washington","Arlington","torchlighthire.com"
"3151","Cinch IT","IT Management",2.3,0.116,22,2004,"1","MA",NA,"Worcester","cinchit.com"
"3152","Division-D","Advertising & Marketing",45.1,0.116,83,2003,"7","MO",NA,"Columbia","divisiond.com"
"3153","GC Realty & Development","Real Estate",4.5,0.116,21,2003,"1","IL","Chicago","Bartlett","gcrealtyinc.com"
"3154","Lee's Air Conditioning, Heating & Building Performance","Consumer Products & Services",11.8,0.116,49,1981,"3","CA",NA,"Fresno","leesair.com"
"3155","Power Design","Construction",575.1,0.116,1840,1989,"4","FL","Tampa","St. Petersburg","powerdesigninc.us"
"3156","Core Nutritionals","Health",5.1,0.116,7,2004,"4","VA","Washington","Ashburn","corenutritionals.com"
"3157","People's Television","Advertising & Marketing",3.5,0.116,10,2011,"1","DC","Washington","Washington","http://www.peoples.tv"
"3158","Premier Pools and Spas","Construction",6.8,0.116,11,2014,"2","CA","Sacramento","Granite Bay","ppas.com"
"3159","de Jong Duke","Manufacturing",23.5,0.116,44,2009,"2","MI","Detroit","Taylor","http://dejongduke.com"
"3160","Cadence Communications and Research","Health",7.2,0.116,13,2008,"1","CA","Oxnard-Thousand Oaks-Ventura","Westlake Village","cadencecr.com"
"3161","Stratus Building Solutions","Business Products & Services",74.3,0.116,12,2006,"3","CA","St. Louis","Hollywood","stratusclean.com"
"3162","Secure One Capital","Financial Services",10.2,0.116,65,1995,"4","CA","Los Angeles","Costa Mesa","secureonecapital.com"
"3163","The Predictive Index","Business Products & Services",40.7,0.116,114,1955,"2","MA","Boston","Westwood","predictiveindex.com"
"3164","ScribeAmerica","Health",305.1,0.116,20599,2005,"9","FL","Miami","Fort Lauderdale","scribeamerica.com"
"3165","Dynamics Resources","IT Management",9.1,0.116,47,2009,"4","IL","Chicago","Vernon Hills","dynamicsresources.com"
"3166","Succession Resource Group","Financial Services",2.3,0.116,12,2012,"1","OR",NA,"Lake Oswego","successionresource.com"
"3167","Intrust Funding","Financial Services",8.1,0.116,6,2009,"5","WA","Seattle","Bellevue","intrustfunding.com"
"3168","Providence Care","Health",15.8,0.116,55,2010,"1","SC","Charlotte","Rock Hill","providencecanhelp.com"
"3169","Complete Network","IT Management",5.8,0.116,31,2011,"4","NY","Albany-Schenectady-Troy","Albany","complete.network"
"3170","A+ Derr Heating and Cooling","Construction",12.6,0.116,66,2002,"1","IN",NA,"Newburgh","aplusderr.com"
"3171","Bandwave Systems","Telecommunications",7.7,0.115,23,2000,"5","NJ","Philadelphia","Burlington","bandwavesystems.com"
"3172","Systems Integration","IT Management",28.7,0.115,72,1990,"1","MD","Washington","Landover","sysintegration.com"
"3173","Renters Warehouse","Real Estate",32.8,0.115,375,2007,"10","MN","Minneapolis","Eden Prarie","renterswarehouse.com"
"3174","The Agency","Real Estate",107,0.115,697,2011,"4","CA","Los Angeles","Beverly Hills","theagencyre.com"
"3175","Open Systems Technologies","IT System Development",11.8,0.115,130,1996,"5","VA","Washington","Gainesville","ostcorp.net"
